model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
changan md201 1.2l pick up,changan,md201 1.2l pick up,,,,,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l/178841,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,fijos,traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,sí,,,N/D,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md201 1.2l pick up ac,changan,md201 1.2l pick up ac,,,,,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l/178841,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,fijos,traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,sí,,,N/D,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md201 1.5l xl,changan,md201 1.5l xl,,,,,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,1 km/l","15,9 km/l","13,7 km/l",N/D,delantero - trasera,manual 5 velocidades,165/70/R14,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4615 mm,1620 mm,N/D,2265 mm,2900 mm,N/A dm3,40 l,1750 kg,900 kg,155 mm,,30°,N/D,N/D,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,con regulación interna,"delanteros, traseros",,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md201 1.5l xl ac,changan,md201 1.5l xl ac,,,,,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l-ac/178842,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,manual,N/D,con ajuste eléctrico,no tiene,tela,manual,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros y traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,sí,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md201 MT 2024.0,changan,md201,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,1 km/l","15,9 km/l","13,7 km/l",N/D,delantero - trasera,manual 5 velocidades,165/70/R14,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4615 mm,1620 mm,N/D,2265 mm,2900 mm,N/A dm3,40 l,1750 kg,900 kg,155 mm,,30°,N/D,N/D,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,con regulación interna,"delanteros, traseros",,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md201 xl 1.5l MT 2024.0,changan,md201 xl 1.5l,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,1 km/l","15,9 km/l","13,7 km/l",N/D,delantero - trasera,manual 5 velocidades,165/70/R14,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4615 mm,1620 mm,N/D,2265 mm,2900 mm,N/A dm3,40 l,1750 kg,900 kg,155 mm,,30°,N/D,N/D,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,con regulación interna,"delanteros, traseros",,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan ms 201 MT 2024.0,changan,ms 201,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l/178841,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,fijos,traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,sí,,,N/D,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan ms 301 plus ac esp 2024.0,changan,ms 301 plus ac esp,,,,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/x7-plus/elite-7-asientos/178850,bencina,1494 cc,177 cv/rpm,260 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,N/D,"10,5 km/l","17,3 km/l","14,0 km/l",N/D,delantero - delantera,manual 6 velocidades,225/55/R19,discos ventilados - discos sólidos,independiente tipo McPherson,Multi-link,4730 mm,1870 mm,N/D,1720 mm,2786 mm,110 dm3,55 l,1625 kg,425 kg,N/D,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,manual,sí,"con ajuste en altura, con ajuste manual",N/D,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura, multifunción",interna y a distancia solo baúl,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,,,sí,,sí,sí,periférica (360°),sí,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,
changan ms201 1.2l pick-up,changan,ms201 1.2l pick-up,,,,,https://www.autocosmos.cl/catalogo/2025/changan/ms201-pick-up/12l/178839,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,fijos,traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,,sí,,,N/D,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan ms201 1.2l pick-up plus,changan,ms201 1.2l pick-up plus,,,,,https://www.autocosmos.cl/catalogo/2025/changan/x7-plus/luxury-7-asientos/178849,bencina,1494 cc,177 cv/rpm,260 N·m/rpm,inyección directa turbo,4 en línea,16,sí,no,N/D,"10,5 km/l","17,3 km/l","14,0 km/l",N/D,delantero - delantera,manual 6 velocidades,225/55/R19,discos ventilados - discos sólidos,independiente tipo McPherson,Multi-link,4730 mm,1870 mm,N/D,1720 mm,2786 mm,110 dm3,55 l,1625 kg,425 kg,N/D,N/D,N/D,N/D,N/D,,,N/D,N/D,N/D,manual,,"con ajuste en altura, con ajuste manual",N/D,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina)",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",,,,sí,,sí,sí,periférica (360°),sí,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado 2.8l high country aut 4X4,chevrolet,colorado 2.8l high country aut,,4X4,,,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-high-country-awd-aut/178880,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2208 kg,892 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistencia de tráfico cruzado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado 2.8l ltz 4X4,chevrolet,colorado 2.8l ltz,,4X4,,,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado 2.8l ltz aut 4X4,chevrolet,colorado 2.8l ltz aut,,4X4,,,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado hc 2.8td 4WD AT,chevrolet,colorado hc 2.8td,,4WD,AT,,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-worktruck/178910,diesel,2777 cc,204/3400 cv/rpm,460/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - delantera,manual 6 velocidades,245/70/R16,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2041 kg,1059 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con regulación y encendido automático,delanteros y traseros,sí,eléctrica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,"táctil de 11""","asistente para arranque en pendientes, control de descenso en pendientes",,sí,con botón,sí,sí,,,trasera,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado hc 2.8td l 4WD AT,chevrolet,colorado hc 2.8td l,,4WD,AT,,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado high country 4X4 AT 2024.0,chevrolet,colorado high country,,4X4,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-high-country-awd-aut/178880,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2208 kg,892 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistencia de tráfico cruzado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado ls 4X2 MT 2024.0,chevrolet,colorado ls,,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet colorado lt 4X4 AT 2024.0,chevrolet,colorado lt,,4X4,AT,2024.0,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
