marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
nissan,suv,qashqai 2.0l advance – multimedia,,,MT,,qashqai 20l advance multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l advance rm,,,,,qashqai 20l advance rm,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai 2.0l exclusive aut,,4X4,,,qashqai 20l exclusive aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,qashqai 2.0l exclusive aut mc,,4X4,,,qashqai 20l exclusive aut mc,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,qashqai 2.0l exclusive aut rm,,4X4,,,qashqai 20l exclusive aut rm,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,qashqai 2.0l exclusive – multimedia,,4X4,CVT,,qashqai 20l exclusive multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4x4,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,qashqai 2.0l sense,,,,,qashqai 20l sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,qashqai 2.0l sense mc,,,,,qashqai 20l sense mc,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,qashqai 2.0l sense – multimedia,,,MT,,qashqai 20l sense multimedia,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,qashqai 2.0l sense rm,,,,,qashqai 20l sense rm,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,qashqai advance,,,CVT,2024.0,qashqai advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai advance plus,,,CVT,2024.0,qashqai advance plus,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai advance,,,MT,2024.0,qashqai advance,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/advance/179666
nissan,suv,qashqai exclusive,,4WD,CVT,2024.0,qashqai exclusive,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,4wd,cvt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/exclusive-cvt-4x4/179668
nissan,suv,qashqai sense,,,MT,2024.0,qashqai sense,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/qashqai,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/nissan/qashqai/sense/179665
nissan,suv,x-trail 2.5l advance aut 3filas,,,,,xtrail 25l advance aut 3filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-advance-3row/179650
nissan,suv,x-trail 2.5l exclusive aut 3filas,,4X4,,,xtrail 25l exclusive aut 3filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-exclusive-3row-4x4/179651
nissan,suv,x-trail 2.5l sense aut 2 filas,,,,,xtrail 25l sense aut 2 filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,x-trail 2.5l sense aut 2 filas,,4WD,,,xtrail 25l sense aut 2 filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4wd,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,x-trail 2.5l sense aut 2 filas,,4X4,,,xtrail 25l sense aut 2 filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-exclusive-3row-4x4/179651
nissan,suv,x-trail 2.5l sense aut 2filas,,,,,xtrail 25l sense aut 2filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,x-trail 2.5l sense aut 3 filas,,,,,xtrail 25l sense aut 3 filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-3row/179649
nissan,suv,x-trail 2.5l sense aut 3filas,,,,,xtrail 25l sense aut 3filas,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-3row/179649
nissan,suv,x-trail 2.5l sense aut,,4WD,,,xtrail 25l sense aut,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,4wd,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-sense-2row/179648
nissan,suv,x-trail advance 3 row e-power,,AWD,,2024.0,xtrail advance 3 row epower,nissan,https://www.autocosmos.cl/catalogo/vigente/nissan/x-trail,nan,awd,nan,https://www.autocosmos.cl/catalogo/2025/nissan/x-trail/25l-advance-3row/179650
