MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
RAM,CAMIONETA,RAMPAGE R/T,2.0L,,AT,2024,rampage rt,ram,ram rampage rt,https://www.autocosmos.cl/catalogo/vigente/ram/rampage
RENAULT,CAMIONETA,OROCH INTENS TURBO,1.3,4X2,AT,2024,oroch intens,renault,renault oroch intens,
RENAULT,CAMIONETA,OROCH INTENS TURBO KIT,1.3,4X2,AT,2024,oroch intens kit,renault,renault oroch intens kit,
RENAULT,CAMIONETA,OROCH INTENS TURBO KITMT,1.3,4X4,,2024,oroch intens kitmt,renault,renault oroch intens kitmt,
RENAULT,CAMIONETA,OROCH INTENS TURBO,1.3,4X4,MT,2024,oroch intens,renault,renault oroch intens,
RENAULT,CAMIONETA,OROCH ZEN,1.6L,4X2,MT,2024,oroch zen,renault,renault oroch zen,https://www.autocosmos.cl/catalogo/vigente/renault/oroch
SSANGYONG,CAMIONETA,MUSSO GLX 2.2TD,,4X4,MT,2024,musso 22td,ssangyong,ssangyong musso 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X2,AT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X2,MT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND GLX 2.2TD,,4X4,MT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND LIMITED 2.2TD,,4X4,AT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND LIMITED PLUS 2.2TD,,4X4,AT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND LX 2.2TD,,4X2,MT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO GRAND LX 2.2TD,,4X4,MT,2024,musso grand 22td,ssangyong,ssangyong musso grand 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso-grand
SSANGYONG,CAMIONETA,MUSSO LIMITED 2.2TD,,4X4,AT,2024,musso 22td,ssangyong,ssangyong musso 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
SSANGYONG,CAMIONETA,MUSSO LIMITED PLUS 2.2TD,,4X4,AT,2024,musso 22td,ssangyong,ssangyong musso 22td,https://www.autocosmos.cl/catalogo/vigente/ssangyong/musso
TOYOTA,CAMIONETA,HILUX DX,2.4,4X2,MT,2024,hilux,toyota,toyota hilux,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX,2.4,4X4,MT,2024,hilux,toyota,toyota hilux,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX,2.8,4X4,MT,2024,hilux,toyota,toyota hilux,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX CS,2.8,4X4,MT,2024,hilux cs,toyota,toyota hilux cs,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux-gr-s
TOYOTA,CAMIONETA,HILUX DX DC,2.4,4X2,MT,2024,hilux dc,toyota,toyota hilux dc,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX DX DC,2.4,4X4,MT,2024,hilux dc,toyota,toyota hilux dc,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.4,4X2,MT,2024,hilux sr,toyota,toyota hilux sr,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.4,4X4,MT,2024,hilux sr,toyota,toyota hilux sr,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.7,4X2,MT,2024,hilux sr,toyota,toyota hilux sr,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR,2.8,4X4,MT,2024,hilux sr,toyota,toyota hilux sr,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR DC,2.4,4X2,MT,2024,hilux sr dc,toyota,toyota hilux sr dc,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
TOYOTA,CAMIONETA,HILUX SR DC,2.4,4X4,MT,2024,hilux sr dc,toyota,toyota hilux sr dc,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
