MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL
CHANGAN,SEDÁN,ALSVIN LUXURY,,,,2024,alsvin luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
CHEVROLET,SEDÁN,ONIX LT R,1.0,,,2024,onix lt r,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix
CHEVROLET,SEDÁN,ONIX LTZ P2,1.0,,,2024,onix ltz p2,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix
CHEVROLET,SEDÁN,ONIX PREMIER R,1.0,,,2024,onix premier r,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix
CHEVROLET,SEDÁN,ONIX LS P,1.2,,,2024,onix ls p,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix
CHEVROLET,SEDÁN,SAIL NB LT,1.5L,,,2024,sail nb lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail
CHEVROLET,SEDÁN,SAIL NB LTZ,1.5L,,,2024,sail nb ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail
CHEVROLET,SEDÁN,SAIL NB LTZ,1.5L,,CVT,2024,sail nb ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail
CITROEN,SEDÁN,HDI 100 BVM6 C-ELYSEE FEEL PACK,1.5,,,2024,hdi 100 bvm6 celysee feel pack,citroen,
CITROEN,SEDÁN,C4 BLUEHDI 130 S&S FEEL PACK,1.5,,EAT8,2024,c4 bluehdi 130 ss feel pack,citroen,
CITROEN,SEDÁN,C4 BLUEHDI 130 S&S SHINE,1.5,,EAT8,2024,c4 bluehdi 130 ss shine,citroen,
HYUNDAI,SEDÁN,ACCENT BN7I DESIGN,1.5,,,2024,accent bn7i design,hyundai,
HYUNDAI,SEDÁN,ACCENT BN7I PLUS,1.5,,,2024,accent bn7i plus,hyundai,
HYUNDAI,SEDÁN,GRAND I10 AI3 DESIGN FL,1.2,,,2024,grand i10 ai3 design fl,hyundai,https://www.autocosmos.cl/catalogo/vigente/hyundai/grand-i10
HYUNDAI,SEDÁN,GRAND I10 AI3 PLUS FL,1.2,,,2024,grand i10 ai3 plus fl,hyundai,https://www.autocosmos.cl/catalogo/vigente/hyundai/grand-i10
KIA,SEDÁN,EV6 EV GT-LINE 77.4KWH,,AWD,,2024,ev6 ev gtline 774kwh,kia,https://www.autocosmos.cl/catalogo/vigente/kia/ev6
KIA,SEDÁN,SOLUTO EX G SRF FULL,1.4L,,5MT,2024,soluto ex g srf full,kia,https://www.autocosmos.cl/catalogo/vigente/kia/soluto
KIA,SEDÁN,SOLUTO LX G LL,1.4L,,5MT,2024,soluto lx g ll,kia,https://www.autocosmos.cl/catalogo/vigente/kia/soluto
MG,SEDÁN,3 COM,,,AT,2024,3 com,mg,https://www.autocosmos.cl/catalogo/vigente/mg/3
MG,SEDÁN,5 COM,1.5L,,CVT,2024,5 com,mg,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,5 DLX,1.5L,,CVT,2024,5 dlx,mg,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,5 COM,1.5L,,MT,2024,5 com,mg,https://www.autocosmos.cl/catalogo/vigente/mg/5
