MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
CHEVROLET COLORADO Z71 4X4 AT 2024,CHEVROLET,COLORADO Z71,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado-z71/28l-aut-awd/177022,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1785 mm,3096 mm,N/A dm3,76 l,2082 kg,1018 kg,211 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,manual,sí,con ajuste manual,no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,táctil de 7'',"asistente para arranque en pendientes, control de descenso en pendientes",,sí,sí,sí,,,trasera,,,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET MONTANA T LT 1.2 MT 2024,CHEVROLET,MONTANA T LT,1.2,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/lt-12/177046,bencina,1199 cc,130/5500 cv/rpm,190/2000-4500 N·m/rpm,inyección electrónica multipunto,3 en línea,12,sí,no,N/D,"11,3 km/l","17,6 km/l","14,8 km/l",N/D,delantero - delantera,manual 5 velocidades,215/55/R17,discos ventilados - tambor,independiente tipo McPherson con barra estabilizadora,semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4717 mm,1798 mm,2097 mm,1659 mm,2800 mm,N/A dm3,44 l,1282 kg,628 kg,185 mm,N/D,"20,1°","24,9°",N/D,,,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, fijos",no tiene,sí,eléctrica,acero con tapas,no tiene,sin regulación,,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",N/D,sí,sí,,,sí,trasera,,,sí,,,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET MONTANA T LTZ 1.2 AT 2024,CHEVROLET,MONTANA T LTZ,1.2,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/lt-12/177046,bencina,1199 cc,130/5500 cv/rpm,190/2000-4500 N·m/rpm,inyección electrónica multipunto,3 en línea,12,sí,no,N/D,"11,3 km/l","17,6 km/l","14,8 km/l",N/D,delantero - delantera,manual 5 velocidades,215/55/R17,discos ventilados - tambor,independiente tipo McPherson con barra estabilizadora,semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4717 mm,1798 mm,2097 mm,1659 mm,2800 mm,N/A dm3,44 l,1282 kg,628 kg,185 mm,N/D,"20,1°","24,9°",N/D,,,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, fijos",no tiene,sí,eléctrica,acero con tapas,no tiene,sin regulación,,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",N/D,sí,sí,,,sí,trasera,,,sí,,,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET MONTANA T PREMIER 1.2 AT 2024,CHEVROLET,MONTANA T PREMIER,1.2,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/premier-12-aut-s/178520,bencina,1199 cc,130/5500 cv/rpm,190/2000-4500 N·m/rpm,inyección electrónica multipunto,3 en línea,12,sí,no,N/D,"10,1 km/l","17,4 km/l","13,7 km/l",N/D,delantero - delantera,automática 6 velocidades,215/55/R17,discos ventilados - tambor,independiente tipo McPherson con barra estabilizadora,semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4717 mm,1798 mm,2097 mm,1659 mm,2800 mm,N/A dm3,44 l,1310 kg,600 kg,N/D,N/D,"20,7°","25,0°",N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,con encendido y apagado automático,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",N/D,sí,sí,sí,"con botón, con sistema remoto",sí,trasera,,,sí,,,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET MONTANA T PREMIER 1.2 MT 2024,CHEVROLET,MONTANA T PREMIER,1.2,,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/premier-12-aut-s/178520,bencina,1199 cc,130/5500 cv/rpm,190/2000-4500 N·m/rpm,inyección electrónica multipunto,3 en línea,12,sí,no,N/D,"10,1 km/l","17,4 km/l","13,7 km/l",N/D,delantero - delantera,automática 6 velocidades,215/55/R17,discos ventilados - tambor,independiente tipo McPherson con barra estabilizadora,semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4717 mm,1798 mm,2097 mm,1659 mm,2800 mm,N/A dm3,44 l,1310 kg,600 kg,N/D,N/D,"20,7°","25,0°",N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,con encendido y apagado automático,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",N/D,sí,sí,sí,"con botón, con sistema remoto",sí,trasera,,,sí,,,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET MONTANA T RS 1.2 AT 2024,CHEVROLET,MONTANA T RS,1.2,,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/rs-12-aut/177047,bencina,1199 cc,130/5500 cv/rpm,190/2000-4500 N·m/rpm,inyección electrónica multipunto,3 en línea,12,sí,no,N/D,"10,1 km/l","17,4 km/l","13,7 km/l",N/D,delantero - delantera,automática 6 velocidades,215/55/R17,discos ventilados - tambor,independiente tipo McPherson con barra estabilizadora,semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4717 mm,1798 mm,2097 mm,1659 mm,2800 mm,N/A dm3,44 l,1310 kg,600 kg,N/D,N/D,"20,7°","25,0°",N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",no tiene,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,con encendido y apagado automático,no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos",N/D,sí,sí,sí,"con botón, con sistema remoto",sí,trasera,,,sí,,,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET SILVERADO HC TD 3.0 4X4 AT 2024,CHEVROLET,SILVERADO HC TD,3.0,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/53l-lt-trailboss-4x4/177023,bencina,5300 cc,355/5600 cv/rpm,518/4100 N·m/rpm,inyección directa,8 en V,32,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,275/65/R18,discos ventilados - discos sólidos,independiente tipo McPherson,de doble brazo,5913 mm,N/D,2478 mm,1990 mm,3745 mm,N/A dm3,91 l,2282 kg,848 kg,274 mm,N/D,N/D,N/D,N/D,4355 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,no tiene,"calefactable, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 12,8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, control de estabilidad para remolques, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,con sistema remoto,,periférica (360°),sí,,sí,sí,,sí,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,
CHEVROLET SILVERADO LT TRAIL BOSS Z71 V8 5.3L 4X4 AT 2024,CHEVROLET,SILVERADO LT TRAIL BOSS Z71 V8,5.3L,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/53l-lt-trailboss-4x4/177023,bencina,5300 cc,355/5600 cv/rpm,518/4100 N·m/rpm,inyección directa,8 en V,32,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,275/65/R18,discos ventilados - discos sólidos,independiente tipo McPherson,de doble brazo,5913 mm,N/D,2478 mm,1990 mm,3745 mm,N/A dm3,91 l,2282 kg,848 kg,274 mm,N/D,N/D,N/D,N/D,4355 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,"con ajuste eléctrico solo conductor, con ajuste en altura y lumbar para el conductor",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, eléctricos y térmicos",antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,no tiene,"calefactable, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 12,8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, control de estabilidad para remolques, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,con sistema remoto,,periférica (360°),sí,,sí,sí,,sí,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,
CHEVROLET SILVERADO ZR2 V8 6.2L 4X4 AT 2024,CHEVROLET,SILVERADO ZR2 V8,6.2L,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/62l-zr2-4x4/177024,bencina,6200 cc,420/5600 cv/rpm,624/4100 N·m/rpm,inyección directa,8 en V,32,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,275/65/R18,discos ventilados - discos sólidos,independiente tipo McPherson,de doble brazo,5922 mm,N/D,2478 mm,1997 mm,3745 mm,N/A dm3,91 l,2568 kg,653 kg,284 mm,N/D,N/D,N/D,N/D,4355 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,"con ajuste eléctrico y memorias, con ajuste en altura y lumbar",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, eléctricos y térmicos",antideslumbrante automático,"con encendido automático, con luces led, con regulación interna",delanteros,sí,eléctrica,aleación,eléctrico,"calefactable, con ajuste eléctrico y memorias, con ajuste en altura y profundidad, multifunción revestido en cuero",interna y a distancia solo baúl,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante, sistema de sonido BOSE®",7,sí,sí,"táctil de 12,8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes, control de estabilidad para remolques, indicador de presión de neumáticos, sistema de alerta del punto ciego, sistema de bloqueo electrónico diferencial",sí,sí,sí,adaptativa,con sistema remoto,,periférica (360°),sí,,sí,sí,,sí,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,
DFSK D1 CONFORT 4X2 MT 2024,DFSK,D1 CONFORT,,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/d1/comfort/177103,bencina,2298 cc,161 cv/rpm,380 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,150 km/h,delantero - trasera,manual 6 velocidades,255/70/R16,discos sólidos - tambor,McPherson doble bandeja,ballesta semielíptica con amortiguadores telescópicos de doble efecto,5290 mm,1850 mm,N/D,1810 mm,3150 mm,N/A dm3,73 l,1835 kg,790 kg,207 mm,,,,,,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",N/D,símil cuero,manual,manuales - manuales,eléctricos,antideslumbrante manual,"con encendido y apagado automático, fijos",delanteros y traseros,,eléctrica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,conductor y acompañante,no tiene,,"delanteros inerciales, traseros inerciales",sí,AM - FM con lector MP3,4,sí,,"táctil de 10""","asistente para arranque en pendientes, indicador de presión de neumáticos",,sí,,,con botón,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFSK D1 LUXURY 4X4 AT 2024,DFSK,D1 LUXURY,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/d1/luxury/177104,bencina,2298 cc,161 cv/rpm,380 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,150 km/h,delantero - integral,manual 6 velocidades,255/70/R16,discos sólidos - tambor,McPherson doble bandeja,ballesta semielíptica con amortiguadores telescópicos de doble efecto,5290 mm,1850 mm,N/D,1810 mm,3150 mm,N/A dm3,73 l,1925 kg,790 kg,207 mm,,,,,,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",N/D,símil cuero,manual,manuales - manuales,eléctricos,antideslumbrante manual,"con encendido y apagado automático, fijos",delanteros y traseros,,eléctrica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,conductor y acompañante,no tiene,,"delanteros inerciales, traseros inerciales",sí,AM - FM con lector MP3,6,sí,,"táctil de 10""","asistente para arranque en pendientes, indicador de presión de neumáticos",,sí,,,con botón,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFSK D1 LUXURY 4X4 MT 2024,DFSK,D1 LUXURY,,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/dfsk/d1/luxury/177104,bencina,2298 cc,161 cv/rpm,380 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,150 km/h,delantero - integral,manual 6 velocidades,255/70/R16,discos sólidos - tambor,McPherson doble bandeja,ballesta semielíptica con amortiguadores telescópicos de doble efecto,5290 mm,1850 mm,N/D,1810 mm,3150 mm,N/A dm3,73 l,1925 kg,790 kg,207 mm,,,,,,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",N/D,símil cuero,manual,manuales - manuales,eléctricos,antideslumbrante manual,"con encendido y apagado automático, fijos",delanteros y traseros,,eléctrica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,traseros,sí,sí,conductor y acompañante,no tiene,,"delanteros inerciales, traseros inerciales",sí,AM - FM con lector MP3,6,sí,,"táctil de 10""","asistente para arranque en pendientes, indicador de presión de neumáticos",,sí,,,con botón,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD MAVERICK LARIAT FX4 HEV AT 2024,FORD,MAVERICK LARIAT FX4 HEV,,,AT,2024,https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-lariat-4x4/177184,bencina,2000 cc,249/5500 cv/rpm,380/3000 N·m/rpm,inyección directa,4 en línea,16,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,225/65/R17,discos autoventilados - discos sólidos,McPherson,barra de torsión y barra estabilizadora,5072 mm,1979 mm,2121 mm,1745 mm,3076 mm,N/D,64 l,1748 kg,613 kg,218 mm,N/D,"21,6°","21,2°",N/D,N/D,N/D,N/D,N/D,N/D,climatizador bizona,sí,"con ajuste eléctrico solo conductor, con ajuste en altura, con ajuste lumbar solo conductor",no abatibles,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,N/D,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, control de descenso en pendientes",sí,sí,sí,sí,con botón,sí,trasera,sí,,sí,sí,,,,,,,sí,sí,,,,,,,,,,,,,,,,,,,
FORD MAVERICK XLT 2.0 4X2 AT 2024,FORD,MAVERICK XLT,2.0,4X2,AT,2024,https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-xlt/177183,bencina,2000 cc,249/5500 cv/rpm,380/3000 N·m/rpm,inyección directa,4 en línea,16,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - delantera,automática 8 velocidades,225/65/R17,discos autoventilados - discos sólidos,McPherson,barra de torsión y barra estabilizadora,5072 mm,1979 mm,2121 mm,1745 mm,3076 mm,N/D,64 l,1634 kg,670 kg,211 mm,N/D,"20,6°","21,9°",N/D,N/D,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no abatibles,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, con luces led, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,N/D,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes",sí,sí,sí,sí,,sí,trasera,sí,,sí,sí,,,,,,,sí,sí,,,,,,,,,,,,,,,,,,,
FORD RANGER DSL LIMITED 3.0 4X4 AT 2024,FORD,RANGER DSL LIMITED,3.0,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/ford/ranger/30l-limited-4x4-aut/177200,diesel,2993 cc,205/3750 cv/rpm,500/1750-2000 N·m/rpm,inyección directa bi-turbo,6 en V,24,sí,sí,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 10 velocidades,255/55/R20,discos ventilados - discos ventilados,"Independiente, de doble brazo",eje rígido,5370 mm,1918 mm,2208 mm,1884 mm,3270 mm,1118 dm3,80 l,2373 kg,927 kg,235 mm,N/D,30°,26°,22°,3500 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led, con regulación interna",no tiene,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,táctil de 12'',"advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, control de estabilidad antivuelco, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta por cansancio, sistema de bloqueo electrónico diferencial",sí,sí,sí,adaptativa,,sí,periférica (360°),,sí,sí,,,,,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,
FORD RANGER DSL XL 2.0 4X2 MT 2024,FORD,RANGER DSL XL,2.0,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x2/177193,diesel,1996 cc,170/3500 cv/rpm,405/1750-2500 N·m/rpm,inyección directa common rail turbo,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,255/70/R16,discos ventilados - tambor,"Independiente, de doble brazo",eje rígido,5370 mm,1918 mm,2208 mm,1884 mm,3270 mm,1118 dm3,80 l,2042 kg,1058 kg,235 mm,N/D,30°,26°,22°,3500 kg,750 kg,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,fijos,no tiene,sí,eléctrica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de estabilidad antivuelco",sí,sí,sí,sí,,sí,,,,sí,,,,,,sí,,sí,,,,,,,,,,,,,,,,,,,,
