marca,numero licitacion,id producto,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
ford,2239-4-lr17,1670535,camioneta,ranger gas xlt 2.5l cng,,,,,ranger gas xlt 25l cng,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
ford,2239-8-lr23,2244438,camioneta,ranger raptor cabina doble,,4X4,AT,2025.0,ranger raptor cabina doble,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xlt-4x4/179046
foton,2239-8-lr23,2048433,camioneta,g7 lite,,4X4,,2024.0,g7 lite,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/foton/g7/20l-lite-4x4/179070
foton,2239-8-lr23,2048450,camioneta,g7 ultimate,,4X2,,2024.0,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/foton/g7/20l-ultimate-4x2/179073
foton,2239-8-lr23,2048467,camioneta,g7 ultimate,,4X4,,2024.0,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/foton/g7/20l-ultimate-4x4/179074
great wall,2239-4-lr17,1841391,camioneta,poer 2.0l deluxe,,4X2,,,poer 20l deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,
great wall,2239-4-lr17,1841393,camioneta,poer 2.0l deluxe,,4X4,,,poer 20l deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,
great wall,2239-4-lr17,1841395,camioneta,poer 2.0l deluxe plus aut,,4X4,,,poer 20l deluxe plus aut,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,
great wall,2239-4-lr17,1841390,camioneta,poer 2.0l elite,,4X2,,,poer 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,
great wall,2239-4-lr17,1841392,camioneta,poer 2.0l elite,,4X4,,,poer 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,
great wall,2239-4-lr17,1841394,camioneta,poer 2.0l elite plus aut,,4X4,,,poer 20l elite plus aut,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,
