Modelo,ID,our_id
changan cs55 1.5l luxury mt 2024,"[2051257, 2051259]",256
changan cs55 1.5l plus elite at 2024,"[2051308, 2051310]",257
changan cs55 1.5l plus luxury at 2024,"[2051291, 2051293]",258
changan cx70 1.5l elite plus turbo aut,"[1668850, 1668850]",259
changan cx70 1.5l elite turbo,"[1668851, 1668851]",260
changan cx70 1.5l elite turbo aut,"[1668852, 1668852]",261
changan cx70 1.6l comfort,"[1668853, 1668853]",262
changan cx70 1.6l luxury,"[1668855, 1668855]",263
changan cx70 1.6l luxury connect,"[1668856, 1668856]",264
changan hunter 1.9l comfort,"[1670361, 1670361]",265
changan hunter 1.9l comfort 4x4,"[1670362, 1670362]",266
changan hunter 1.9l elite 4x4,"[1670363, 1670363]",267
changan hunter 1.9l luxury,"[1670364, 1670364]",268
changan hunter 1.9l luxury 4x4,"[1670365, 1670365]",269
changan hunter comfort 2.0t 4x2 mt 2024,"[2048977, 2048979]",270
changan hunter comfort 2.0t 4x4 mt 2024,"[2049011, 2049013]",271
changan hunter elite sport 2.0t 4x4 mt 2024,"[2049028, 2049030]",272
changan hunter luxury 2.0t 4x2 mt 2024,"[2048994, 2048996]",273
changan m 201 cargo 2024,"[2049300, 2049302]",274
changan m 201 cargo ac 2024,"[2049317, 2049319]",275
changan m201 1.2l furgón,"[1670671, 1670671]",276
changan m201 1.2l furgón ac,"[1670672, 1670672]",277
changan md 301 ac esp mt 2024,"[2049113, 2049115]",278
changan md201 1.2l cargo box,"[1670675, 1670675]",279
changan md201 1.2l cargo box ac,"[1670676, 1670676]",280
changan md201 1.2l pick up,"[1670404, 1670404]",281
changan md201 1.2l pick up ac,"[1670405, 1670405]",282
changan md201 1.5l xl,"[1670406, 1670406]",283
changan md201 1.5l xl ac,"[1670407, 1670407]",284
changan md201 mt 2024,"[2049045, 2049047]",285
changan md201 xl 1.5l mt 2024,"[2049062, 2049064, 2049079, 2049081]",286
changan ms 201 mt 2024,"[2049096, 2049098]",287
changan ms 301 plus ac esp 2024,"[2049130, 2049132]",288
changan ms201 1.2l pick-up,"[1670408, 1670408]",289
changan ms201 1.2l pick-up plus,[1670409],290
chery arrizo 3 1.5l gls,[1669950],291
chery arrizo 3 1.5l gls sc,[1669951],292
chery arrizo 3 1.5l glx,[1669952],293
chery arrizo 3 gls mt,[1669954],294
chery arrizo 3 glx mt,[1669955],295
chery iq 1.0l gls,[1669752],296
chery k60 1.5l gl,[1669024],297
chery k60 1.5l gls,[1669025],298
chery tiggo 2 1.0l pro glx cvt at 2024,"[2051478, 2051480]",299
chery tiggo 2 1.0l pro glx mt 2024,"[2051461, 2051463]",300
chery tiggo 2 1.5l gl mt,[1669369],301
chery tiggo 2 1.5l gls cvt at 2024,"[2051546, 2051548]",302
chery tiggo 2 1.5l gls mt,[1669370],303
chery tiggo 2 1.5l glx mt,[1669371],304
chery tiggo 2 1.5l l,[1669372],305
chery tiggo 2 1.5l pro gls cvt at 2024,"[2051580, 2051582]",306
chery tiggo 2 1.5l pro gls mt 2024,"[2051563, 2051565]",307
chery tiggo 2 gl mt,[1669373],308
chery tiggo 2 gl mt euro 6,[2033832],309
chery tiggo 2 gls cvt,[2033838],310
chery tiggo 2 gls mt,[1669374],311
chery tiggo 2 gls mt euro 6,[2033844],312
chery tiggo 2 glx mt,[1669375],313
chery tiggo 2 l mt,[1669376],314
chery tiggo 2 pro 1.0t glx cvt,[2033850],315
chery tiggo 2 pro 1.0t glx mt,[2033856],316
chery tiggo 2 pro gls cvt,[2033862],317
chery tiggo 2 pro gls mt,[2033868],318
chery tiggo 3 1.5l gl mt,[1669378],319
chery tiggo 3 1.5l gls,[1669379],320
chery tiggo 3 1.5l gls mt,[1669380],321
chery tiggo 3 1.5l pro gls cvt at 2024,"[2051665, 2051667]",322
chery tiggo 3 1.5l pro glx cvt at 2024,"[2051699, 2051701]",323
chery tiggo 3 1.5l pro glx mt 2024,"[2051682, 2051684]",324
chery tiggo 3 gls mt,[1669381],325
chery tiggo 3 pro 1.5t glx cvt,[2033874],326
chery tiggo 3 pro gls cvt,[2033880],327
chery tiggo 3 pro gls mt,[2033886],328
chery tiggo 3 pro glx mt,[2033892],329
chery tiggo 7 1.5l pro gls cvt at 2024,"[2051716, 2051718]",330
chery tiggo 7 1.5l pro glx cvt at 2024,"[2051733, 2051735]",331
chery tiggo 7 pro gls cvt,[2033898],332
chery tiggo 7 pro glx cvt,[2033904],333
chery tiggo 8 1.5l gls mt 2024,"[2051818, 2051820]",334
chery tiggo 8 1.5l glx dct at 2024,"[2051784, 2051786]",335
chery tiggo 8 1.6l pro glx dct at 2024,"[2051767, 2051769]",336
chery tiggo 8 1.6l pro max glx dct at 2024,"[2051801, 2051803]",337
chery tiggo 8 2.0l pro max glx awd at 2024,"[2051833, 2051834, 2051835, 2051836, 2051837, 2051838, 2051839, 2051840, 2051843, 2051845]",338
chery tiggo 8 gl mt,[2033910],339
chery tiggo 8 gls mt,[2033916],340
chery tiggo 8 glx dct,[2033922],341
chery tiggo 8 pro 1.6 tgdi glx dct,[2033928],342
chery tiggo 8 pro 2.0 tdgi glx awd,[2033934],343
chevrolet blazer 3.6l rs awd,"[1668747, 1668747]",344
chevrolet blazer 3.6l rs awd at 2024,"[2051847, 2051848, 2051849, 2051850, 2051852, 2051853, 2051854, 2051855, 2051856, 2051858, 2051859, 2051861, 2051862, 2051852, 2051852]",345
chevrolet blazer rs 3.6l awd at l,"[1668748, 1668748]",346
chevrolet bolt euv at 2024,"[2222374, 2222374]",347
chevrolet captiva 1.5l lt,[1668767],348
chevrolet captiva 1.5l lt aut,"[1668768, 1668768]",349
chevrolet captiva 1.5l ltz cvt p at 2024,"[2051898, 2051899, 2051900, 2051901, 2051903, 2051904, 2051905, 2051906, 2051907, 2051909, 2051910, 2051912, 2051913, 2051913, 2051904, 2051907, 2051906, 2051902, 2051903, 2051905, 2051903, 2051906, 2051903, 2051903]",350
