marca,tipo producto,Model Name,Engine,Drive,Transmission,Year
ssangyong,camioneta,musso glx 2.2td,,4X4,MT,2024
ssangyong,camioneta,musso grand diesel 2.2l,,,AT,
ssangyong,camioneta,musso grand full diesel 2.2l,,,,
ssangyong,camioneta,musso grand full diesel 2.2l,,,AT,
ssangyong,camioneta,musso grand full diesel 2.2l,,,MT,
ssangyong,camioneta,musso grand full diesel 2.2l sc,,,MT,
ssangyong,camioneta,musso grand full diesel 2.2l,,4X4,,
ssangyong,camioneta,musso grand full diesel 2.2l,,4X4,MT,
ssangyong,camioneta,musso grand glx 2.2td,,4X2,AT,2024
ssangyong,camioneta,musso grand glx 2.2td,,4X2,MT,2024
ssangyong,camioneta,musso grand glx 2.2td,,4X4,MT,2024
ssangyong,camioneta,musso grand limited 2.2td,,4X4,AT,2024
ssangyong,camioneta,musso grand limited plus 2.2td,,4X4,AT,2024
ssangyong,camioneta,musso grand lx 2.2td,,4X2,MT,2024
ssangyong,camioneta,musso grand lx 2.2td,,4X4,MT,2024
ssangyong,camioneta,musso limited 2.2td,,4X4,AT,2024
ssangyong,camioneta,musso limited plus 2.2td,,4X4,AT,2024
ssangyong,camioneta,musso xdi 2.2l,,4X4,,
suzuki,camioneta,carry pick up,,,,
toyota,camioneta,dx,2.4,4X2,MT,
toyota,camioneta,hilux sr,2.4,4X2,MT,
toyota,camioneta,hilux dx cabina simple,2.4,4X4,,
toyota,camioneta,hilux dx,2.4,4X4,MT,
toyota,camioneta,hilux sr,2.4,4X4,MT,
toyota,camioneta,hilux 2.4l dx cd,,4X2,,
toyota,camioneta,hilux 2.4l dx cd,,4X4,,
toyota,camioneta,hilux 2.4l dx cs,,4X4,,
toyota,camioneta,hilux 2.4l sr cd,,4X2,,
toyota,camioneta,hilux 2.4l sr cd,,4X4,,
toyota,camioneta,hilux dx gasolina,2.7,4X2,MT,
toyota,camioneta,hilux sr gasolina,2.7,4X2,MT,
toyota,camioneta,hilux 2.7l dx gasolina cd,,4X2,,
toyota,camioneta,hilux 2.7l sr gasolina cd,,4X2,,
toyota,camioneta,hilux srv,2.8,4X4,AT,
toyota,camioneta,hilux sr,2.8,4X4,MT,
toyota,camioneta,hilux sr r,2.8,4X4,MT,
toyota,camioneta,hilux 2.8l sr cd,,4X4,,
toyota,camioneta,hilux 2.8l srv cd aut,,4X4,,
toyota,camioneta,hilux sr,2.8,4X4,MT,
toyota,camioneta,hilux dx,2.4,4X2,MT,2024
toyota,camioneta,hilux dx,2.4,4X4,MT,2024
toyota,camioneta,hilux dx,2.8,4X4,MT,2024
toyota,camioneta,hilux dx cs,2.8,4X4,MT,2024
toyota,camioneta,hilux dx dc,2.4,4X2,MT,2024
toyota,camioneta,hilux dx dc,2.4,4X4,MT,2024
toyota,camioneta,hilux sr,2.4,4X2,MT,2024
toyota,camioneta,hilux sr,2.4,4X4,MT,2024
toyota,camioneta,hilux sr,2.7,4X2,MT,2024
toyota,camioneta,hilux sr,2.8,4X4,MT,2024
toyota,camioneta,hilux sr dc,2.4,4X2,MT,2024
toyota,camioneta,hilux sr dc,2.4,4X4,MT,2024
toyota,camioneta,hilux srv,2.8,4X4,AT,2024
toyota,camioneta,tundra sr5,,4X4,,
volkswagen,camioneta,amarok 2.0l comfortline 4motion,,,,
volkswagen,camioneta,amarok 2.0l comfortline 4motion aut,,,,
volkswagen,camioneta,amarok 2.0l comfortline,,4X2,,
volkswagen,camioneta,amarok 2.0l highline 4motion aut,,,,
volkswagen,camioneta,amarok 2.0l trendline 4motion,,,,
volkswagen,camioneta,amarok 2.0l trendline,,4X2,,
volkswagen,camioneta,amarok 3.0l v6,,,,
volkswagen,camioneta,nueva amarok comfortline 4motion,,,,
volkswagen,camioneta,nueva amarok comfortline 4motion,,,AT,
volkswagen,camioneta,nueva amarok comfortline,,4X2,,
volkswagen,camioneta,nueva amarok highline 4motion,,,AT,
volkswagen,camioneta,nueva amarok trendline 4motion,,,,
volkswagen,camioneta,nueva amarok trendline,,4X2,,
volkswagen,camioneta,nueva amarok v6,,4X4,AT,
volkswagen,camioneta,nueva saveiro cross,,,,
volkswagen,camioneta,saveiro 1.6l cabina simple,,,,
volkswagen,camioneta,saveiro 1.6l doble cabina comfortline,,,,
volkswagen,camioneta,saveiro cross 1.6l,,,,
zna,camioneta,r6,,,AT,2024
baic,sedan,eu5 ev,,,,2024
byd,sedan,han ev,,,,2024
byd,sedan,qin plus dm,,,,2024
byd,sedan,seal ev,,,,2024
changan,sedan,alsvin 1.4l comfort,,,,
changan,sedan,alsvin 1.4l luxury,,,,
changan,sedan,alsvin comfort,,,,2024
changan,sedan,alsvin elite,,,AT,2024
changan,sedan,alsvin luxury,,,,2024
chery,sedan,arrizo 3 1.5l gls,,,,
chery,sedan,arrizo 3 1.5l gls sc,,,,
chery,sedan,arrizo 3 1.5l glx,,,,
chery,sedan,arrizo 3 gls,,,MT,
chery,sedan,arrizo 3 glx,,,MT,
chevrolet,sedan,onix lt r,1.0,,,2024
chevrolet,sedan,onix ltz p2,1.0,,,2024
